ra,status,status_msg,ckt_id,service_type,dryrun,payload,update_time
717082,Failed,"Circuit ID - TC_82:Svlan/SubIntf(3454) already exist on device BGL_WAO_901_1AG_CASR9KTR140 with interface Bundle-Ether40
Svlan/SubIntf(3454) already exist on device BGL_WAO_901_2AG_CASR9KTR370 with interface Bundle-Ether40",TC_82,CEN-L2,no dry run found,"{u'mpls-l2vpn-cfs:mpls-l2vpn': [{u'src': {u'lagg': {u'devices': [{u'device': u'BGL_WAO_901_1AG_CASR9KTR140', u'interface-list': [{u'intf-id': u'Bundle-Ether10', u'svlan': u'3428'}]}, {u'device': u'BGL_WAO_901_2AG_CASR9KTR370', u'interface-list': [{u'intf-id': u'Bundle-Ether10', u'svlan': u'3428'}]}]}}, u'service': {u'business': {u'type': u'tng'}}, u'ckt-id': u'TC_82', u'destn': {u'lagg': {u'devices': [{u'device': u'BGL_WAO_901_1AG_CASR9KTR140', u'interface-list': [{u'intf-id': u'Bundle-Ether40', u'svlan': u'3454'}]}, {u'device': u'BGL_WAO_901_2AG_CASR9KTR370', u'interface-list': [{u'intf-id': u'Bundle-Ether40', u'svlan': u'3454'}]}]}}, u'bandwidth': u'10240000', u'downtime': u'false', u'order': {u'date-of-provisioning': u'02042020', u'ra': 717082, u'lsi': u'13535510'}}]}",2020-05-01T10:00:33.229Z
717097,Success,Service provisioning success,TC_97,CEN-L2,"[{u'RFS1': u'<rpc xmlns=""urn:ietf:params:xml:ns:netconf:base:1.0""\n     message-id=""3"">\n  <edit-config xmlns:nc=""urn:ietf:params:xml:ns:netconf:base:1.0"">\n    <target>\n      <running/>\n    </target>\n    <test-option>test-then-set</test-option>\n    <error-option>rollback-on-error</error-option>\n    <with-inactive xmlns=""http://tail-f.com/ns/netconf/inactive/1.0""/>\n    <config>\n      <mpls-l2vpn xmlns=""http://com.cisco/bharti/mpls-l2vpn"">\n        <ckt-id>TC_97</ckt-id>\n        <bandwidth>10240000</bandwidth>\n        <reconcile>false</reconcile>\n        <order>\n          <ra>717097</ra>\n          <date-of-provisioning>01052020</date-of-provisioning>\n        </order>\n        <backup-pwid>100000001</backup-pwid>\n        <service>\n          <business>\n            <type>tng</type>\n          </business>\n        </service>\n        <primary-pwid>100000000</primary-pwid>\n        <destn>\n          <lagg>\n            <devices>\n              <device>BGL_WAO_901_2AG_CASR9KTR370</device>\n              <interface-list>\n                <intf-id>Bundle-Ether40</intf-id>\n                <subintf-id>3462</subintf-id>\n              </interface-list>\n            </devices>\n            <devices>\n              <device>BGL_WAO_901_1AG_CASR9KTR140</device>\n              <interface-list>\n                <intf-id>Bundle-Ether40</intf-id>\n                <subintf-id>3462</subintf-id>\n              </interface-list>\n            </devices>\n          </lagg>\n          <type>e2ecen-intra</type>\n        </destn>\n        <src>\n          <lagg>\n            <devices>\n              <device>BGL_BFD_901_1AG_CASR9KTR122</device>\n            </devices>\n            <devices>\n              <device>BGL_WAO_901_1AG_CASR9KTR140</device>\n            </devices>\n          </lagg>\n          <access>\n            <device>BGL_BFD_933_1AC_B_CASR920R420</device>\n            <interface>\n              <intf-id>GigabitEthernet0/0/4</intf-id>\n            </interface>\n            <evc>\n              <vlan-id>500</vlan-id>\n            </evc>\n          </access>\n        </src>\n        <mtu/>\n      </mpls-l2vpn>\n    </config>\n  </edit-config>\n</rpc>\n'}, {u'BGL_WAO_901_2AG_CASR9KTR370': u'policy-map NSO_10000Mb\n class class-default\n  police rate 10240000000 bps burst 16000000 bytes\n   conform-action transmit\n   exceed-action drop\n  !\n  set discard-class 3\n  set mpls experimental imposition 3\n !\n end-policy-map\n!\ninterface Bundle-Ether 40.5000 l2transport\n description #FTTB#TNG#TC_97#717097#10240000#01052020#\n encapsulation dot1q 3462\n service-policy input NSO_10000Mb\n no shutdown\n rewrite ingress tag pop 1 symmetric\nexit\nl2vpn\n xconnect group CEN-NSO\n  p2p TC_97\n   interface Bundle-Ether40.5000\n   neighbor ipv4 192.168.53.49 pw-id 100000000\n    pw-class CEN-CW-FAT\n   exit\n  exit\n exit\nexit\n'}, {u'BGL_WAO_901_1AG_CASR9KTR140': u'policy-map NSO_10000Mb\n class class-default\n  police rate 10240000000 bps burst 16000000 bytes\n   conform-action transmit\n   exceed-action drop\n  !\n  set discard-class 3\n  set mpls experimental imposition 3\n !\n end-policy-map\n!\ninterface Bundle-Ether 40.5000 l2transport\n description #FTTB#TNG#TC_97#717097#10240000#01052020#\n encapsulation dot1q 3462\n service-policy input NSO_10000Mb\n no shutdown\n rewrite ingress tag pop 1 symmetric\nexit\nl2vpn\n xconnect group CEN-NSO\n  p2p TC_97\n   interface Bundle-Ether40.5000\n   neighbor ipv4 10.60.231.213 pw-id 100000001\n    pw-class CEN-CW-FAT\n   exit\n  exit\n exit\nexit\n'}, {u'BGL_BFD_933_1AC_B_CASR920R420': u'\n\npolicy-map NSO_10000Mb\n class class-default\n  police cir 10240000000 bc 16000000\n   conform-action transmit\n   exceed-action drop\n  !\n  set discard-class 3\n  set mpls experimental imposition 3\n !\n!\ninterface GigabitEthernet0/0/4\n negotiation auto\n service instance 500 ethernet\n  description #FTTB#TNG#TC_97#717097#10240000#01052020#\n  encapsulation dot1q 500\n  rewrite ingress tag pop 1 symmetric\n  l2protocol forward\n  service-policy input NSO_10000Mb\n  xconnect 192.168.53.49 100000000 encapsulation mpls\n   backup peer 10.229.37.70 100000001\n   no mpls control-word\n  exit\n exit\n no keepalive\n mtu           9202\n load-interval 30\nexit\n'}, {u'BGL_BFD_901_1AG_CASR9KTR122': u'l2vpn\n pw-class CEN-CW-FAT\n  encapsulation mpls\n   control-word\n   load-balancing\n    flow-label both\n   exit\n  exit\n exit\n bridge group TC_97_717097\n  bridge-domain TC_97_717097\n   mtu 9202\n   neighbor 10.60.231.213 pw-id 100000000\n   exit\n   vfi TC_97_717097\n    neighbor 10.229.34.134 pw-id 100000000\n     pw-class CEN-CW-FAT\n    exit\n   exit\n  exit\n exit\nexit\n'}]","{u'mpls-l2vpn-cfs:mpls-l2vpn': [{u'src': {u'access': [{u'interface': {u'intf-id': u'GigabitEthernet0/0/4'}, u'device': u'BGL_BFD_933_1AC_B_CASR920R420', u'evc': {u'svlan': u'500'}}]}, u'service': {u'business': {u'type': u'tng'}}, u'ckt-id': u'TC_97', u'destn': {u'lagg': {u'devices': [{u'device': u'BGL_WAO_901_1AG_CASR9KTR140', u'interface-list': [{u'intf-id': u'Bundle-Ether40', u'svlan': u'3462'}]}, {u'device': u'BGL_WAO_901_2AG_CASR9KTR370', u'interface-list': [{u'intf-id': u'Bundle-Ether40', u'svlan': u'3462'}]}]}}, u'bandwidth': u'10240000', u'downtime': u'false', u'order': {u'ra': 717097, u'lsi': u'13535510'}}]}",2020-05-01T10:01:59.280Z
71707,Failed,"Circuit ID - TC_7:Qos policy Global_QOS not exist on BGL_BFD_933_1AC_B_CASR920R420
Qos policy max-queue not exist on BGL_BFD_933_1AC_B_CASR920R420
Qos policy Global_QOS not exist on BGL_DDK_907_1AC_CASR920R415
Qos policy max-queue not exist on BGL_DDK_907_1AC_CASR920R415",TC_7,CEN-L2,no dry run found,"{u'mpls-l2vpn-cfs:mpls-l2vpn': [{u'src': {u'access': [{u'interface': {u'intf-id': u'GigabitEthernet0/0/11'}, u'device': u'BGL_BFD_933_1AC_B_CASR920R420', u'evc': {u'svlan': u'100'}}]}, u'service': {u'mobility': {u'type': u'2G-L2'}}, u'ckt-id': u'TC_7', u'destn': {u'access': [{u'interface': {u'intf-id': u'GigabitEthernet0/0/8'}, u'device': u'BGL_DDK_907_1AC_CASR920R415', u'evc': {u'svlan': u'100'}}]}, u'bandwidth': u'4096', u'downtime': u'false', u'order': {u'ra': 71707, u'lsi': u'0'}}]}",2020-05-01T10:00:45.977Z
717023,Failed,"Circuit ID - TC_23:Qos policy max-queue not exist on BGL_VAS_933_1AC_B_CASR920R220
Qos policy Global_QOS not exist on BGL_NRL_901_1AC_T_CASR920R032
Qos policy max-queue not exist on BGL_NRL_901_1AC_T_CASR920R032",TC_23,CEN-L2,no dry run found,"{u'mpls-l2vpn-cfs:mpls-l2vpn': [{u'src': {u'access': [{u'interface': {u'intf-id': u'GigabitEthernet0/0/8'}, u'device': u'BGL_VAS_933_1AC_B_CASR920R220', u'evc': {u'svlan': u'102', u'cvlan': u'103'}}]}, u'service': {u'mobility': {u'type': u'2G-L2'}}, u'ckt-id': u'TC_23', u'destn': {u'access': [{u'interface': {u'intf-id': u'GigabitEthernet0/0/5'}, u'device': u'BGL_NRL_901_1AC_T_CASR920R032', u'evc': {u'svlan': u'102', u'cvlan': u'103'}}]}, u'bandwidth': u'4096', u'downtime': u'false', u'order': {u'ra': 717023, u'lsi': u'0'}}]}",2020-05-01T10:01:54.686Z
717043,Failed,"Circuit ID - TC_43:Interface GigabitEthernet0/1/1 does not exist on BGL_GVW_901_1AC_CASR903R032
Qos policy Global_QOS not exist on BGL_NRL_901_1AC_T_CASR920R032
Qos policy max-queue not exist on BGL_NRL_901_1AC_T_CASR920R032",TC_43,CEN-L2,no dry run found,"{u'mpls-l2vpn-cfs:mpls-l2vpn': [{u'src': {u'access': [{u'interface': {u'intf-id': u'GigabitEthernet0/1/1'}, u'device': u'BGL_GVW_901_1AC_CASR903R032', u'evc': {u'svlan': u'104'}}]}, u'service': {u'mobility': {u'type': u'2G-L2'}}, u'ckt-id': u'TC_43', u'destn': {u'access': [{u'interface': {u'intf-id': u'GigabitEthernet0/0/6'}, u'device': u'BGL_NRL_901_1AC_T_CASR920R032'}]}, u'bandwidth': u'10240000', u'downtime': u'false', u'order': {u'date-of-provisioning': u'02042020', u'ra': 717043, u'lsi': u'13535510'}}]}",2020-05-01T10:02:56.489Z
717058,Failed,Circuit ID - TC_58:Interface GigabitEthernet0/1/1 does not exist on BGL_MSU_901_1NP_CASR9KTR001,TC_58,CEN-L2,no dry run found,"{u'mpls-l2vpn-cfs:mpls-l2vpn': [{u'src': {u'access': [{u'interface': {u'intf-id': u'GigabitEthernet0/4/3'}, u'device': u'BGL_BFD_919_1AC_CASR903R345', u'evc': {u'svlan': u'400'}}]}, u'service': {u'business': {u'type': u'tng'}}, u'ckt-id': u'TC_58', u'destn': {u'npe': {u'devices': [{u'device': u'BGL_MSU_901_1NP_CASR9KTR001', u'interface-list': [{u'intf-id': u'GigabitEthernet0/1/1', u'svlan': u'3462'}]}]}}, u'bandwidth': u'102400', u'downtime': u'false', u'order': {u'ra': 717058, u'lsi': u'13535510'}}]}",2020-05-01T10:06:10.016Z
717059,Failed,"{u'message': u'Error Message : Invalid action parameters', u'type': u'NSO Error', u'details': u'Error Details:  intf-id - Reason : ""TenGigabitEthernet0/3/0/12"" is an invalid value. : Path :  service-operations->pre-check->mpls-l2vpn->destn->npe->devices->interface-list->intf-id'}",TC_59,CEN-L2,no dry run found,"{u'mpls-l2vpn-cfs:mpls-l2vpn': [{u'src': {u'access': [{u'interface': {u'intf-id': u'GigabitEthernet0/4/4', u'intf-id2': u'GigabitEthernet0/4/5'}, u'device': u'BGL_BFD_919_1AC_CASR903R345', u'evc': {u'svlan': u'565'}}]}, u'service': {u'business': {u'type': u'tng'}}, u'ckt-id': u'TC_59', u'destn': {u'npe': {u'devices': [{u'device': u'BGL_MSU_901_1NP_CASR9KTR001', u'interface-list': [{u'intf-id': u'TenGigabitEthernet0/3/0/12', u'svlan': u'3565'}]}]}}, u'bandwidth': u'102400', u'downtime': u'false', u'order': {u'ra': 717059, u'lsi': u'13535510'}}]}",2020-05-01T10:08:06.453Z
717060,Failed,"{u'message': u'Error Message : Invalid action parameters', u'type': u'NSO Error', u'details': u'Error Details:  intf-id - Reason : ""TenGigabitEthernet0/3/0/13"" is an invalid value. : Path :  service-operations->pre-check->mpls-l2vpn->destn->npe->devices->interface-list->intf-id'}",TC_60,CEN-L2,no dry run found,"{u'mpls-l2vpn-cfs:mpls-l2vpn': [{u'src': {u'access': [{u'interface': {u'intf-id': u'GigabitEthernet0/5/5'}, u'device': u'BGL_SJP_901_1AC_T_CASR903R017', u'evc': {u'svlan': u'566'}}]}, u'service': {u'business': {u'type': u'tng'}}, u'ckt-id': u'TC_60', u'destn': {u'npe': {u'devices': [{u'device': u'BGL_MSU_901_1NP_CASR9KTR001', u'interface-list': [{u'intf-id': u'TenGigabitEthernet0/3/0/13', u'svlan': u'3566'}]}]}}, u'bandwidth': u'102400', u'downtime': u'false', u'order': {u'ra': 717060, u'lsi': u'13535510'}}]}",2020-05-01T10:11:51.562Z
717061,Failed,"{u'message': u'Error Message : Invalid action parameters', u'type': u'NSO Error', u'details': u'Error Details:  intf-id - Reason : ""TenGigabitEthernet0/3/0/14"" is an invalid value. : Path :  service-operations->pre-check->mpls-l2vpn->destn->npe->devices->interface-list->intf-id'}",TC_61,CEN-L2,no dry run found,"{u'mpls-l2vpn-cfs:mpls-l2vpn': [{u'src': {u'access': [{u'interface': {u'intf-id': u'GigabitEthernet0/5/6', u'intf-id2': u'GigabitEthernet0/5/7'}, u'device': u'BGL_SJP_901_1AC_T_CASR903R017', u'evc': {u'svlan': u'466'}}]}, u'service': {u'business': {u'type': u'tng'}}, u'ckt-id': u'TC_61', u'destn': {u'npe': {u'devices': [{u'device': u'BGL_MSU_901_1NP_CASR9KTR001', u'interface-list': [{u'intf-id': u'TenGigabitEthernet0/3/0/14', u'svlan': u'3466'}]}]}}, u'bandwidth': u'102400', u'downtime': u'false', u'order': {u'ra': 717061, u'lsi': u'13535510'}}]}",2020-05-01T10:12:05.951Z
717065,Failed,"{u'message': u'Error Message : Invalid action parameters', u'type': u'NSO Error', u'details': u'Error Details:  intf-id - Reason : ""TenGigabitEthernet0/3/0/15"" is an invalid value. : Path :  service-operations->pre-check->mpls-l2vpn->destn->npe->devices->interface-list->intf-id'}",TC_65,CEN-L2,no dry run found,"{u'mpls-l2vpn-cfs:mpls-l2vpn': [{u'src': {u'access': [{u'interface': {u'intf-id': u'GigabitEthernet0/0/2', u'intf-id2': u'GigabitEthernet0/0/3'}, u'device': u'BGL_UTH_957_1AC_M_CASR920R292', u'evc': {u'svlan': u'662'}}]}, u'service': {u'business': {u'type': u'tng'}}, u'ckt-id': u'TC_65', u'destn': {u'npe': {u'devices': [{u'device': u'BGL_MSU_901_1NP_CASR9KTR001', u'interface-list': [{u'intf-id': u'TenGigabitEthernet0/3/0/15', u'svlan': u'3662'}]}, {u'device': u'BGL_MSU_901_2NP_CASR9KTR001', u'interface-list': [{u'intf-id': u'TenGigabitEthernet0/3/0/11', u'svlan': u'3662'}]}]}}, u'bandwidth': u'1024000', u'downtime': u'false', u'order': {u'ra': 717065, u'lsi': u'13535510'}}]}",2020-05-01T10:15:46.218Z
